symbol,atomic_number,atomic_radius,atomic_volume,boiling_point,density,dipole_polarizability,electron_affinity,valance_main,evaporation_heat,fusion_heat,group_id,lattice_constant,melting_point,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_batsanov,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,atomic_radius_rahm,covalent_radius_pyykko_double,discovery_year,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,magp_column,magp_electron_affinity,magp_atomic_volume,magp_atomic_masses,magp_valence_d,magp_valence_s,magp_T_melt,magp_electronegativity,magp_unfilled_f,magp_valence_p,magp_unfilled_d,magp_valence_f,magp_row,magp_unfilled,magp_valence,magp_T_boil,magp_magnetic_moment,magp_cohesive_energy,magp_density,magp_covalent_radius,magp_polarizability,imat_electron_affinity,imat_electronegativity,imat_electron_binding_energy,imat_atomic_radius,imat_valence,imat_cohesive_energy,imat_ionization_energy,ase_magnetic_moment,pymg_atomic_radius,pymg_electronegativity,ionization_energy,pseudo_POMASS,pseudo_ZVAL,pseudo_ENMAX,pseudo_ENMIN,pseudo_RCORE,pseudo_RWIGS,pseudo_EATOM,pseudo_RPACOR,pseudo_RCLOC,pseudo_EAUG,pseudo_RMAX,pseudo_RAUG,pseudo_RDEP,pseudo_RDEPT,pseudo_DEXC,pseudo_IUNSCR,pseudo_s_occ,pseudo_p_occ,pseudo_d_occ,pseudo_f_occ,pseudo_avg_orbital_energy,pseudo_min_orbital_energy,pseudo_max_orbital_energy,pseudo_avg_proj_energy,pseudo_num_projectors
Te,52,160.0,20.5,1263.0,6.24,38.0,1.970876,6.0,49.8,17.91,16.0,4.45,722.7,5,5,0.201,14.3,206.0,138.0,136,2.1,12.76,196.6,445.0,133.0,140.0,210.0,447.0,244.0,0.001,0.0,0.2056992,199.0,471.0,127.6,0.03,0,242.0,128.0,1782.0,102,4.0,92.0,94.0,16.0,190.0,33.95668872,127.6,10.0,2.0,722.66,2.1,0.0,4.0,0.0,0.0,5.0,2.0,16.0,1261.0,2.0,2.19,6240.0,1.38,5.5,190.0,2.1,40.4,135.0,6.0,2.19,2.1,2.0,1.4,2.1,9.00966,127.6,6.0,174.982,131.236,2.3,2.9,223.2721,2.2,0.0,368.792,2.345,1.3,2.397,2.174,0.0,1.0,2.0,4.0,0.0,0.0,-3953.8257818181814,-31621.2075,-5.9526,-7.803000133333334,6.0
I,53,0.0,25.7,457.5,4.93,32.9,3.0590368,7.0,41.95,15.52,17.0,7.72,386.7,5,6,0.0,0.0,198.0,139.0,133,2.66,13.95,106.757,385.0,140.0,140.0,210.0,450.0,236.0,0.45,0.06,0.2195176,204.0,389.0,126.90447,3e-05,True,238.0,129.0,1811.0,109,1.3,97.0,99.0,17.0,295.0,42.65885747,126.90447,10.0,2.0,386.85,2.66,0.0,5.0,0.0,0.0,5.0,1.0,17.0,457.3,1.0,1.11,4940.0,1.39,5.025,295.0,2.66,48.9,133.0,7.0,1.11,10.4512,1.0,1.4,2.66,10.45126,126.904,7.0,175.647,131.735,2.3,2.81,315.8678,2.2,0.0,370.139,2.359,1.3,2.392,2.17,0.0,1.0,0.0,0.0,0.0,0.0,-4138.081463636363,-32976.3739,-7.0851,-9.317992683333333,6.0
Xe,54,0.0,42.9,166.1,3.52,27.32,-0.056,8.0,12.65,0.0,18.0,6.2,161.3,5,2,0.158,0.0057,216.0,140.0,131,2.6,15.27,0.0,0.0,0.0,0.0,0.0,440.4,228.0,3e-05,5e-05,0.2333511,228.0,302.0,131.293,0.006,0,232.0,135.0,1898.0,116,0.2,5.0,5.0,18.0,0.0,36952.92402,131.293,10.0,2.0,161.3,2.6,0.0,6.0,0.0,0.0,5.0,0.0,18.0,165.0,0.0,0.16,5.9,1.4,4.044,0.0,2.6,67.5,130.0,0.0,0.16,2.6,0.0,0.0,2.6,12.1298431,131.294,8.0,153.118,114.839,2.5,2.5,429.516,2.0,0.0,218.469,2.564,1.3,2.58,2.195,0.0,1.0,2.0,6.0,0.0,0.0,-4327.197172727273,-34364.0918,-8.2334,3.21100985,4.0
Cs,55,267.0,70.0,951.6,1.873,400.9,0.471626,1.0,68.3,2.09,1.0,6.05,301.6,6,3,0.241,35.9,343.0,244.0,232,0.79,3.898,76.5,0.0,237.0,260.0,300.0,451.7,344.0,3.0,0.0003,0.1542125,348.0,6660.0,132.905452,6e-08,True,249.0,209.0,1860.0,5,0.7,8.0,8.0,1.0,46.0,117.4560158,132.90545,0.0,1.0,301.59,0.79,0.0,0.0,0.0,0.0,6.0,1.0,1.0,944.0,1.0,0.804,1879.0,2.44,59.42,46.0,0.79,12.1,225.0,1.0,0.804,3.8939,1.0,2.6,0.79,3.893905548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ba,56,222.0,39.0,1910.0,3.5,272.0,0.14462,2.0,142.0,7.66,2.0,5.02,1002.0,6,4,0.192,0.0,268.0,215.0,196,0.89,5.211,179.1,0.0,210.0,215.0,270.0,370.3,307.0,425.0,0.013,0.1586786,303.0,5540.0,137.327,0.007,0,293.0,161.0,1808.0,9,10.0,14.0,14.0,2.0,14.0,64.96928167,137.327,0.0,2.0,1000.0,0.89,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2143.0,0.0,1.9,3510.0,2.15,39.7,14.0,0.89,14.8,198.0,2.0,1.9,5.2116,0.0,2.15,0.89,5.211664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La,57,187.0,22.5,3730.0,6.15,215.0,0.47,2.0,402.0,8.5,3.0,3.75,1194.0,6,9,0.197,13.4,243.0,207.0,180,1.1,0.0,431.0,0.0,0.0,195.0,250.0,352.2,278.0,39.0,3.4e-06,0.163142,298.0,3730.0,138.90547,7e-05,0,284.0,139.0,1839.0,13,20.0,33.0,32.0,3.0,48.0,37.53064612,138.90547,1.0,2.0,1193.0,1.1,0.0,0.0,9.0,0.0,6.0,9.0,3.0,3737.0,1.0,4.47,6146.0,2.07,31.1,48.0,1.1,16.8,169.0,3.0,4.47,5.5769,1.0,1.95,1.1,5.5769,138.9,11.0,219.292,164.469,2.8,2.9,865.9763,2.3,1.601,583.575,2.853,1.3,2.802,2.156,0.0,1.0,0.0,0.0,0.0,0.0,-3880.8072928571432,-38741.0879,-3.0911,-6.2424906625,8.0
Ce,58,181.0,21.0,3699.0,6.757,205.0,0.65,2.0,398.0,5.2,0.0,5.16,1072.0,6,9,0.205,11.3,242.0,204.0,163,1.12,0.0,420.1,0.0,0.0,185.0,0.0,355.6,274.0,66.5,1.2e-06,0.16761,288.0,3480.0,140.116,0.001,0,282.0,137.0,1803.0,15,20.0,32.0,31.0,3.0,50.0,34.78450148,140.116,1.0,2.0,1071.0,1.12,13.0,0.0,9.0,1.0,6.0,22.0,4.0,3633.0,1.0,4.32,6689.0,2.04,29.6,50.0,1.12,0.1,183.0,4.0,4.32,5.5387,1.0,1.85,1.12,5.5386,140.115,12.0,273.042,204.781,2.7,2.5,1063.0861,1.8,1.81,580.196,2.749,1.3,2.81,2.162,0.0,1.0,0.0,0.0,0.0,0.0,-4041.873378571429,-40258.9816,-3.0598,-3.428642987499999,8.0
Pr,59,182.0,20.8,3785.0,6.773,216.0,0.962,2.0,331.0,11.3,0.0,3.67,1204.0,6,9,0.192,12.5,240.0,203.0,176,1.13,0.0,356.9,0.0,0.0,185.0,0.0,360.6,273.0,9.2,6.4e-07,0.17208,292.0,3760.0,140.90766,2e-05,True,286.0,138.0,1885.0,17,20.0,31.0,30.0,3.0,50.0,35.23917573,140.90766,0.0,2.0,1204.0,1.13,11.0,0.0,0.0,3.0,6.0,11.0,5.0,3563.0,3.0,3.7,6640.0,2.03,28.2,50.0,1.13,2.0,182.0,5.0,3.7,5.473,3.0,1.85,1.13,5.473,140.907,13.0,337.25,252.937,2.4,2.8,1297.7434,1.8,1.903,746.659,2.463,1.3,2.477,1.906,0.0,1.0,0.0,0.0,0.0,0.0,-4203.544821428571,-41807.2314,-2.4969,-11.0312278375,8.0
Nd,60,182.0,20.6,3341.0,7.007,208.0,1.916,2.0,289.0,7.1,0.0,3.66,1294.0,6,9,0.205,0.0,239.0,201.0,174,1.14,0.0,326.9,0.0,0.0,185.0,0.0,357.5,273.0,41.5,2.8e-06,0.176539,295.0,3560.0,144.242,0.003,0,284.0,137.0,1925.0,19,20.0,30.0,29.0,3.0,50.0,34.16905488,144.242,0.0,2.0,1294.0,1.14,10.0,0.0,0.0,4.0,6.0,10.0,6.0,3373.0,4.0,3.4,7010.0,2.01,31.4,50.0,1.14,1.5,181.0,6.0,3.4,5.525,4.0,1.85,1.14,5.525,144.24,14.0,338.34,253.755,2.4,2.8,1566.7848,1.8,2.111,735.112,2.462,1.3,2.497,1.921,0.0,1.0,0.0,0.0,0.0,0.0,-4371.498607142857,-43392.6566,-2.414,-11.539838062500001,8.0
Pm,61,0.0,0.0,3000.0,7.2,200.0,0.0,2.0,0.0,0.0,0.0,0.0,1441.0,6,9,0.185,17.9,238.0,199.0,173,0.0,0.0,0.0,0.0,0.0,185.0,0.0,354.7,272.0,0.0,0.0,0.1810032,0.0,3340.0,144.91276,2e-05,0,283.0,135.0,1945.0,21,20.0,29.0,28.0,3.0,50.0,33.14754856,144.91276,0.0,2.0,1373.0,1.13,9.0,0.0,0.0,5.0,6.0,9.0,7.0,3273.0,5.0,3.23,7264.0,1.99,30.1,50.0,1.13,120.0,181.0,7.0,0.0,5.582,5.0,1.85,1.13,5.582,146.915,15.0,340.358,255.269,2.4,2.8,1874.7383,1.8,1.81,726.161,2.458,1.3,2.512,1.932,0.0,1.0,0.0,0.0,0.0,0.0,-4543.0554999999995,-45012.5675,-2.319,-12.0060256875,8.0
Sm,62,181.0,19.9,2064.0,7.52,192.0,0.0,2.0,165.0,8.9,0.0,9.0,1350.0,6,9,0.18,0.0,236.0,198.0,172,1.17,0.0,206.7,0.0,0.0,185.0,0.0,352.0,271.0,7.05,4.5e-07,0.185468,290.0,3130.0,150.36,0.02,0,280.0,134.0,1879.0,23,20.0,28.0,27.0,3.0,50.0,33.95681901,150.36,0.0,2.0,1345.0,1.17,8.0,0.0,0.0,6.0,6.0,8.0,8.0,2076.0,6.0,2.14,7353.0,1.98,28.8,50.0,1.17,5.2,180.0,8.0,2.14,1.17,6.0,1.85,1.17,5.64371,150.36,16.0,341.177,255.883,2.4,2.8,2223.7718,1.8,2.318,715.027,2.457,1.3,2.532,1.947,0.0,1.0,0.0,0.0,0.0,0.0,-4718.299500000001,-46667.4362,-2.2157,-10.907438311111111,9.0
Eu,63,199.0,28.9,1870.0,5.243,184.0,0.864,2.0,176.0,0.0,0.0,4.61,1095.0,6,9,0.176,13.9,235.0,198.0,168,0.0,0.0,177.4,0.0,0.0,185.0,0.0,349.3,294.0,2.0,1.3e-07,0.189935,287.0,2940.0,151.964,0.001,0,280.0,134.0,1901.0,25,20.0,18.0,17.0,3.0,50.0,48.12129236,151.964,0.0,2.0,1095.0,1.2,7.0,0.0,0.0,7.0,6.0,7.0,9.0,1800.0,7.0,1.86,5244.0,1.98,27.7,50.0,1.2,0.0,199.0,9.0,1.86,5.6703,7.0,1.85,1.2,5.670385,151.965,17.0,344.705,258.529,2.4,2.8,2616.0112,1.8,2.308,709.983,2.446,1.3,2.541,1.954,0.0,1.0,0.0,0.0,0.0,0.0,-4897.304078571427,-48357.7368,-2.1068,-11.348351155555555,9.0
Gd,64,179.0,19.9,3539.0,7.9,158.0,0.0,2.0,398.0,0.0,0.0,3.64,1586.0,6,9,0.23,0.0,234.0,196.0,169,1.2,0.0,397.5,0.0,0.0,180.0,0.0,336.8,271.0,6.2,7e-07,0.1944,283.0,2340.0,157.25,0.03,0,277.0,135.0,1880.0,27,20.0,27.0,26.0,3.0,50.0,33.04972431,157.25,1.0,2.0,1586.0,1.2,7.0,0.0,9.0,7.0,6.0,16.0,10.0,3523.0,8.0,4.14,7901.0,1.96,23.5,50.0,1.2,8.6,179.0,10.0,4.14,6.1498,8.0,1.8,1.2,6.149796,157.25,18.0,342.859,257.144,2.4,2.8,3053.5577,1.8,2.316,788.751,2.454,1.3,2.41,1.854,0.0,1.0,0.0,0.0,0.0,0.0,-5080.137585714287,-50083.952,-1.994,-10.185409622222222,9.0
Tb,65,180.0,19.2,3296.0,8.229,170.0,1.165,2.0,389.0,0.0,0.0,3.6,1629.0,6,9,0.183,11.1,233.0,194.0,168,0.0,0.0,388.7,0.0,0.0,175.0,0.0,345.1,270.0,1.2,1.4e-07,0.198863,279.0,2590.0,158.92535,2e-05,True,276.0,135.0,1843.0,29,20.0,26.0,25.0,3.0,50.0,32.10949276,158.92535,0.0,2.0,1629.0,1.1,5.0,0.0,0.0,9.0,6.0,5.0,11.0,3503.0,5.0,4.05,8219.0,1.94,25.5,50.0,1.1,2.4,176.0,11.0,4.05,1.1,5.0,1.75,1.1,5.8638,158.925,19.0,340.855,255.642,2.4,2.8,3538.4865,1.8,2.306,783.199,2.463,1.3,2.419,1.861,0.0,1.0,0.0,0.0,0.0,0.0,-5266.865792857142,-51846.5775,-1.8787,-10.672478888888888,9.0
Dy,66,180.0,19.0,2835.0,8.55,163.0,0.352,2.0,291.0,0.0,0.0,3.59,1685.0,6,9,0.173,10.7,231.0,192.0,167,1.22,0.0,290.4,0.0,0.0,175.0,0.0,342.8,290.0,5.2,9.1e-07,0.20333,287.0,2430.0,162.5,0.001,0,275.0,133.0,1886.0,31,15.0,25.0,24.0,3.0,50.0,31.55699985,162.5,0.0,2.0,1685.0,1.22,4.0,0.0,0.0,10.0,6.0,4.0,12.0,2840.0,4.0,3.04,8551.0,1.92,24.5,50.0,1.22,4.3,175.0,12.0,3.04,5.9389,4.0,1.75,1.22,5.93905,162.5,20.0,341.547,256.16,2.5,2.8,4072.8507,1.8,2.304,678.956,2.562,1.3,2.598,1.998,0.0,1.0,0.0,0.0,0.0,0.0,-5457.553278571429,-53646.1234,-1.7621,-11.754153333333335,9.0
Ho,67,179.0,18.7,2968.0,8.795,156.0,0.0,2.0,301.0,0.0,0.0,3.58,1747.0,6,9,0.164,0.0,230.0,192.0,166,1.23,0.0,300.6,0.0,0.0,175.0,0.0,340.9,267.0,1.3,2.2e-07,0.207795,281.0,2280.0,164.93033,2e-05,True,273.0,133.0,1878.0,33,10.0,24.0,23.0,3.0,50.0,31.14037991,164.93033,0.0,2.0,1747.0,1.23,3.0,0.0,0.0,11.0,6.0,3.0,13.0,2973.0,3.0,3.14,8795.0,1.92,23.6,50.0,1.23,5.2,174.0,13.0,3.14,6.0215,3.0,1.75,1.23,6.0215,164.93,21.0,343.845,257.884,2.4,3.0,4658.6903,1.8,2.316,764.071,2.454,1.3,2.449,1.884,0.0,1.0,0.0,0.0,0.0,0.0,-5652.264678571429,-55483.1169,-1.645,-12.147810477777778,9.0
Er,68,178.0,18.4,3136.0,9.06,150.0,0.0,2.0,317.0,0.0,0.0,3.56,1802.0,6,9,0.168,0.0,229.0,189.0,165,1.24,0.0,316.4,0.0,0.0,175.0,0.0,339.1,267.0,3.5,8.7e-07,0.212261,283.0,2150.0,167.259,0.003,0,272.0,133.0,1843.0,35,10.0,23.0,22.0,3.0,50.0,30.63606837,167.259,0.0,2.0,1770.0,1.24,2.0,0.0,0.0,12.0,6.0,2.0,14.0,3141.0,2.0,3.29,9066.0,1.89,22.7,50.0,1.24,4.7,173.0,14.0,3.29,6.0177,2.0,1.75,1.24,6.1077,167.26,22.0,346.295,259.722,2.4,3.0,5298.0349,1.8,2.308,756.959,2.446,1.3,2.46,1.893,0.0,1.0,0.0,0.0,0.0,0.0,-5851.065321428572,-57358.1037,-1.5284,-13.216094922222222,9.0
Tm,69,177.0,18.1,2220.0,9.321,144.0,1.029,2.0,232.0,0.0,0.0,3.54,1818.0,6,9,0.16,0.0,227.0,190.0,164,1.25,0.0,232.2,0.0,0.0,175.0,0.0,337.4,267.0,0.52,1.7e-07,0.2167244,279.0,2020.0,168.93422,2e-05,True,271.0,131.0,1879.0,37,15.0,22.0,20.0,3.0,50.0,30.09638585,168.93422,0.0,2.0,1818.0,1.25,1.0,0.0,0.0,13.0,6.0,1.0,15.0,2223.0,1.0,2.42,9321.0,1.9,21.8,50.0,1.25,4.6,173.0,15.0,2.42,1.25,1.0,1.75,1.25,6.18431,168.93,23.0,344.206,258.154,2.5,3.0,5992.8956,1.8,2.316,661.616,2.554,1.3,2.632,2.024,0.0,1.0,0.0,0.0,0.0,0.0,-6054.0215071428565,-59271.6495,-1.413,-13.524580866666668,9.0
Yb,70,194.0,24.8,1466.0,6.9654,139.0,-0.02,2.0,159.0,3.35,0.0,5.49,1097.0,6,9,0.145,0.0,226.0,187.0,170,0.0,0.0,155.6,0.0,0.0,175.0,0.0,335.5,279.0,3.2,8.2e-07,0.22119,280.0,1910.0,173.045,0.01,0,277.0,129.0,1878.0,39,6.0,17.0,18.0,3.0,50.0,43.73967194,173.054,0.0,2.0,1092.0,1.1,0.0,0.0,0.0,14.0,6.0,0.0,16.0,1469.0,0.0,1.6,6570.0,1.87,20.9,50.0,1.1,1.3,194.0,16.0,1.6,1.06,0.0,1.75,1.1,6.25416,173.04,24.0,344.312,258.234,2.5,3.0,6745.2883,1.8,2.316,651.098,2.554,1.3,2.653,2.041,0.0,1.0,0.0,0.0,0.0,0.0,-6261.201314285713,-61224.3412,-1.2996,-13.830856577777773,9.0
Lu,71,175.0,17.8,3668.0,9.8404,137.0,0.34,2.0,414.0,0.0,0.0,3.51,1936.0,6,8,0.155,0.0,224.0,187.0,162,1.0,6.455,427.6,0.0,0.0,175.0,0.0,364.0,265.0,0.8,1.5e-07,0.22565,274.0,2020.0,174.9668,0.0001,0,270.0,131.0,1907.0,41,7.0,21.0,19.0,3.0,50.0,29.52403191,174.9668,1.0,2.0,1936.0,1.27,0.0,0.0,9.0,14.0,6.0,9.0,17.0,3675.0,1.0,4.43,9841.0,1.87,21.9,50.0,1.27,7.5,172.0,3.0,4.43,5.4258,1.0,1.75,1.27,5.425871,174.967,25.0,255.695,191.771,2.8,3.0,7549.2563,2.3,2.306,568.657,2.867,1.3,2.839,2.184,0.0,1.0,0.0,0.0,0.0,0.0,-6475.772478571428,-63220.3049,-1.7505,-11.465736699999999,8.0
Hf,72,167.0,13.6,5470.0,13.31,103.0,0.014,2.0,575.0,25.1,4.0,3.2,2503.0,6,8,0.146,23.0,223.0,175.0,152,1.3,6.83,618.4,0.0,0.0,155.0,225.0,314.1,253.0,3.0,7e-06,0.229987,263.0,1040.0,178.49,0.02,0,264.0,128.0,1923.0,45,6.0,50.0,50.0,4.0,0.0,22.26871119,178.49,2.0,2.0,2506.0,1.3,0.0,0.0,8.0,14.0,6.0,8.0,18.0,4876.0,2.0,6.44,13310.0,1.75,16.2,0.0,1.3,14.2,150.0,4.0,6.44,6.825,2.0,1.55,1.3,6.82507,178.49,4.0,220.334,165.25,3.0,3.05,75.9011,2.5,2.212,335.116,3.077,1.3,3.047,2.344,0.0,1.0,5.0,0.0,0.0,0.0,-6696.987700000001,-65259.4397,-1.9877,3.7397771333333334,6.0
Ta,73,149.0,10.9,5698.0,16.654,74.0,0.322,2.0,758.0,24.7,5.0,3.31,3269.0,6,8,0.14,57.5,222.0,170.0,146,1.5,7.93,782.0,0.0,0.0,145.0,220.0,317.0,243.0,2.0,2e-06,0.234581,253.0,887.0,180.94788,2e-05,0,258.0,126.0,1802.0,49,20.0,53.0,52.0,5.0,31.0,18.04672956,180.94788,3.0,2.0,3290.0,1.5,0.0,0.0,7.0,14.0,6.0,7.0,19.0,5731.0,3.0,8.1,16650.0,1.7,13.1,31.0,1.5,21.6,138.0,5.0,8.1,1.5,3.0,1.45,1.5,7.54957,180.948,5.0,223.667,167.75,2.9,2.84,130.6506,2.33,2.205,332.075,2.97,1.3,3.06,2.354,0.0,1.0,5.0,0.0,0.0,0.0,-6924.1196,-67341.2807,-2.6455,3.728421616666667,6.0
W,74,141.0,9.53,5930.0,19.3,68.0,0.81626,2.0,824.0,35.0,6.0,3.16,3680.0,6,8,0.133,173.0,218.0,162.0,137,1.7,8.67,851.0,0.0,0.0,135.0,210.0,309.6,239.0,1.25,0.0001,0.2390504,257.0,757.0,183.84,0.01,0,253.0,120.0,1783.0,53,15.0,56.0,57.0,6.0,79.0,15.85873442,183.84,4.0,2.0,3695.0,2.36,0.0,0.0,6.0,14.0,6.0,6.0,20.0,5828.0,4.0,8.9,19250.0,1.62,11.1,79.0,2.36,31.4,146.0,6.0,8.9,2.36,4.0,1.35,2.36,7.86403,183.85,6.0,223.057,167.293,2.75,2.75,204.6103,2.33,2.147,373.438,2.801,1.3,2.886,2.23,0.0,1.0,0.0,0.0,0.0,0.0,-7156.343442857142,-69465.5836,-3.3185,4.130948666666667,6.0
Re,75,137.0,8.85,5900.0,21.02,62.0,0.15,2.0,704.0,34.0,7.0,2.76,3453.0,6,8,0.138,48.0,216.0,151.0,131,1.9,9.46,774.0,0.0,0.0,135.0,205.0,295.4,237.0,0.0007,4e-06,0.2435164,249.0,663.0,186.207,0.001,0,249.0,119.0,1925.0,57,3.0,59.0,58.0,7.0,15.0,14.71033423,186.207,5.0,2.0,3459.0,1.9,0.0,0.0,5.0,14.0,6.0,5.0,21.0,5869.0,5.0,8.03,21020.0,1.51,9.7,15.0,1.9,34.6,159.0,7.0,8.03,7.8335,5.0,1.35,1.9,7.83352,186.207,7.0,226.216,169.662,2.7,2.71,299.6589,2.25,2.105,370.28,2.768,1.3,2.719,2.204,0.0,1.0,5.0,6.0,0.0,0.0,-7393.68927142857,-71633.0043,-4.0055,2.7882159333333334,6.0
Os,76,135.0,8.43,5300.0,22.57,57.0,1.1,2.0,738.0,31.7,8.0,2.74,3327.0,6,8,0.131,0.0,216.0,144.0,129,2.2,9.78,787.0,0.0,0.0,130.0,200.0,312.0,235.0,0.0015,0.0,0.2479845,248.0,584.0,190.23,0.03,0,244.0,116.0,1804.0,61,3.0,62.0,60.0,8.0,106.0,13.98369767,190.23,6.0,2.0,3306.0,2.2,0.0,0.0,4.0,14.0,6.0,4.0,22.0,5285.0,4.0,8.17,22590.0,1.44,8.5,106.0,2.2,44.5,128.0,8.0,8.17,8.4382,4.0,1.3,2.2,8.43823,190.2,8.0,228.022,171.017,2.7,2.67,417.5999,2.25,2.004,365.08,2.766,1.3,2.738,2.22,0.0,1.0,5.0,0.0,0.0,0.0,-7636.2031,-73844.2437,-4.7055,2.003973916666667,6.0
Ir,77,136.0,8.54,4403.0,22.42,54.0,1.5638,2.0,604.0,27.61,9.0,3.84,2683.0,6,8,0.133,147.0,213.0,141.0,122,2.2,9.96,669.0,0.0,0.0,135.0,200.0,284.0,236.0,0.001,0.0,0.25106,241.0,522.0,192.217,0.003,0,233.0,115.0,1804.0,65,7.0,65.0,62.0,9.0,151.0,14.14855047,192.217,7.0,2.0,2739.0,2.2,0.0,0.0,3.0,14.0,6.0,3.0,23.0,4701.0,3.0,6.94,22560.0,1.41,7.6,151.0,2.2,48.0,137.0,9.0,6.94,8.967,3.0,1.35,2.2,8.96702,192.22,9.0,210.864,158.148,2.6,2.69,560.1833,2.25,1.857,318.962,2.667,1.3,2.748,2.3,0.0,1.0,1.0,0.0,8.0,0.0,-7883.942464285715,-76100.0449,-5.418,0.36622689999999974,6.0
Pt,78,139.0,9.1,4100.0,21.45,48.0,2.128,1.0,470.0,21.76,10.0,3.92,2045.0,6,8,0.133,71.6,213.0,136.0,123,2.2,10.16,565.7,0.0,0.0,135.0,205.0,275.4,239.0,0.005,0.0,0.25691,229.0,470.0,195.084,0.009,0,230.0,112.0,1735.0,69,4.0,68.0,64.0,10.0,205.0,15.36046351,195.084,9.0,1.0,2041.4,2.28,0.0,0.0,1.0,14.0,6.0,2.0,24.0,4098.0,2.0,5.84,21090.0,1.36,6.5,205.0,2.28,51.7,128.0,10.0,5.84,8.9588,2.0,1.35,2.28,8.95883,195.08,10.0,230.283,172.712,2.6,2.75,729.1176,2.33,0.0,358.966,2.658,1.3,2.761,2.203,0.0,1.0,1.0,0.0,9.0,0.0,-8136.97337142857,-78401.1885,-5.6573,-0.3191319428571428,7.0
Au,79,146.0,10.2,3080.0,19.3,36.0,2.30863,1.0,340.0,12.68,11.0,4.08,1337.58,6,8,0.129,318.0,214.0,136.0,124,2.4,11.33,368.2,0.0,0.0,135.0,210.0,329.3,243.0,0.004,4e-06,0.26137,232.0,427.0,196.966569,5e-06,True,226.0,121.0,0.0,73,3.0,70.0,66.0,11.0,223.0,16.94706362,196.96657,10.0,1.0,1337.33,2.54,0.0,0.0,0.0,14.0,6.0,1.0,25.0,3129.0,1.0,3.81,19300.0,1.36,5.8,223.0,2.54,57.2,144.0,1.0,3.81,9.2255,1.0,1.35,2.54,9.225553,196.966,11.0,229.943,172.457,2.5,2.84,926.0867,2.33,0.0,356.67,2.562,1.3,2.598,2.193,0.0,1.0,1.0,0.0,10.0,0.0,-8395.371635714288,-80748.5001,-5.7602,0.2004643428571426,7.0
Hg,80,157.0,14.8,629.73,13.546,33.91,0.0,2.0,58.5,2.295,12.0,2.99,234.28,6,8,0.138,8.3,223.0,132.0,133,1.9,10.44,61.38,0.0,0.0,150.0,205.0,270.5,253.0,0.085,3e-05,0.169,245.0,268.0,200.592,0.003,0,229.0,142.0,0.0,79,0.34,74.0,76.0,12.0,0.0,24.61174207,200.592,10.0,2.0,234.32,2.0,0.0,0.0,0.0,14.0,6.0,0.0,26.0,629.73,0.0,0.67,13534.0,1.32,5.36,0.0,2.0,7.8,149.0,2.0,0.67,10.4375,0.0,1.5,2.0,10.437504,200.59,12.0,233.204,174.903,2.5,3.05,1148.5194,2.5,2.106,352.362,2.557,1.3,2.614,2.171,0.0,1.0,0.0,0.0,0.0,0.0,-8662.186578571427,-83145.9708,-6.8147,-4.424899833333334,6.0
Tl,81,171.0,17.2,1730.0,11.85,50.0,0.377,3.0,162.4,4.31,13.0,3.46,576.6,6,7,0.128,46.1,196.0,145.0,144,1.8,0.0,182.2,0.0,190.0,190.0,220.0,434.7,259.0,0.85,1.9e-05,0.173447,247.0,509.0,204.38,0.0,0,242.0,142.0,1861.0,85,2.0,78.0,81.0,13.0,19.0,28.64087656,204.38,10.0,2.0,577.0,1.62,0.0,1.0,0.0,14.0,6.0,5.0,27.0,1746.0,1.0,1.88,11850.0,1.45,7.55,19.0,1.62,12.5,148.0,3.0,1.88,1.62,1.0,1.9,1.62,6.108287,204.38,3.0,90.14,67.605,3.2,3.26,57.5366,2.4,0.0,237.028,3.271,1.3,3.398,2.711,0.0,1.0,0.0,0.0,0.0,0.0,-8341.664173333333,-85594.3227,-2.37,1.8693670166666667,6.0
